"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",50000000,1,23.93,89
"Quick",50000000,2,11.43,32
"Quick",50000000,3,10.31,36
"Quick",50000000,4,8.99,41
"Quick",50000000,5,9.12,40
"Quick",50000000,6,8.93,41
"Quick",50000000,7,8.84,42
"Quick",50000000,8,8.95,41
"Quick",50000000,9,8.88,42
"Quick",50000000,10,8.94,41
"Quick",10000000,1,4.08,100
"Quick",10000000,2,2.3,32
"Quick",10000000,3,2.0,37
"Quick",10000000,4,13.35,125
"Quick",10000000,5,1.91,39
"Quick",10000000,6,1.8,41
"Quick",10000000,7,1.85,40
"Quick",10000000,8,16.5,168
"Quick",10000000,9,1.87,40
"Quick",10000000,10,1.95,38
"Quick",1000000,1,0.38,99
"Quick",1000000,2,0.86,82
"Quick",1000000,3,0.3,24
"Quick",1000000,4,1.3,127
"Quick",1000000,5,0.28,27
"Quick",1000000,6,0.34,22
"Quick",1000000,7,0.29,26
"Quick",1000000,8,0.38,19
"Quick",1000000,9,0.38,20
"Quick",1000000,10,0.4,19
"Quick",500000,1,0.19,100
"Quick",500000,2,0.43,83
"Quick",500000,3,0.2,19
"Quick",500000,4,0.21,18
"Quick",500000,5,0.19,19
"Quick",500000,6,0.2,18
"Quick",500000,7,0.41,55
"Quick",500000,8,0.84,166
"Quick",500000,9,0.27,14
"Quick",500000,10,0.29,13
"Quick",100000,1,0.03,100
"Quick",100000,2,0.13,6
"Quick",100000,3,0.18,37
"Quick",100000,4,0.13,128
"Quick",100000,5,0.16,120
"Quick",100000,6,0.18,135
"Quick",100000,7,0.16,160
"Quick",100000,8,0.17,165
"Quick",100000,9,0.2,148
"Quick",100000,10,0.2,157
"Quick",10000,1,0.0,100
"Quick",10000,2,0.01,80
"Quick",10000,3,0.01,93
"Quick",10000,4,0.01,126
"Quick",10000,5,0.02,120
"Quick",10000,6,0.02,128
"Quick",10000,7,0.02,134
"Quick",10000,8,0.02,141
"Quick",10000,9,0.02,152
"Quick",10000,10,0.02,134
"Quick",1000,1,0.0,0
"Quick",1000,2,0.0,50
"Quick",1000,3,0.0,100
"Quick",1000,4,0.0,75
"Quick",1000,5,0.0,100
"Quick",1000,6,0.0,83
"Quick",1000,7,0.0,87
"Quick",1000,8,0.0,114
"Quick",1000,9,0.0,125
"Quick",1000,10,0.01,110
"Heap",50000000,1,40.32,93
"Heap",50000000,2,19.56,19
"Heap",50000000,3,17.23,21
"Heap",50000000,4,15.07,24
"Heap",50000000,5,14.24,26
"Heap",50000000,6,14.29,26
"Heap",50000000,7,14.25,26
"Heap",50000000,8,13.88,26
"Heap",50000000,9,13.47,27
"Heap",50000000,10,13.54,27
"Heap",10000000,1,6.4,100
"Heap",10000000,2,3.38,22
"Heap",10000000,3,2.97,25
"Heap",10000000,4,13.81,120
"Heap",10000000,5,2.42,30
"Heap",10000000,6,2.53,29
"Heap",10000000,7,2.52,29
"Heap",10000000,8,17.08,161
"Heap",10000000,9,2.41,31
"Heap",10000000,10,2.5,30
"Heap",1000000,1,0.49,99
"Heap",1000000,2,0.9,77
"Heap",1000000,3,0.34,22
"Heap",1000000,4,1.35,122
"Heap",1000000,5,0.3,25
"Heap",1000000,6,0.31,24
"Heap",1000000,7,0.31,24
"Heap",1000000,8,0.35,21
"Heap",1000000,9,0.39,19
"Heap",1000000,10,0.4,19
"Heap",500000,1,0.23,100
"Heap",500000,2,0.44,80
"Heap",500000,3,0.22,17
"Heap",500000,4,0.21,18
"Heap",500000,5,0.2,18
"Heap",500000,6,0.21,18
"Heap",500000,7,err,err
"Heap",500000,8,0.86,164
"Heap",500000,9,0.28,13
"Heap",500000,10,0.35,11
"Heap",100000,1,0.04,97
"Heap",100000,2,0.14,6
"Heap",100000,3,0.18,36
"Heap",100000,4,0.13,125
"Heap",100000,5,0.16,119
"Heap",100000,6,0.17,136
"Heap",100000,7,0.17,164
"Heap",100000,8,0.17,162
"Heap",100000,9,0.2,150
"Heap",100000,10,0.2,150
"Heap",10000,1,0.0,100
"Heap",10000,2,0.01,72
"Heap",10000,3,0.01,94
"Heap",10000,4,0.01,120
"Heap",10000,5,0.02,119
"Heap",10000,6,0.02,128
"Heap",10000,7,0.02,157
"Heap",10000,8,0.02,147
"Heap",10000,9,0.02,144
"Heap",10000,10,0.02,140
"Heap",1000,1,0.0,100
"Heap",1000,2,0.0,50
"Heap",1000,3,0.0,100
"Heap",1000,4,0.0,75
"Heap",1000,5,0.0,85
"Heap",1000,6,0.0,116
"Heap",1000,7,0.0,133
"Heap",1000,8,0.0,128
"Heap",1000,9,0.0,144
"Heap",1000,10,0.01,130
"Insert",50000000,1,inf,99
"Insert",50000000,2,inf,6
"Insert",50000000,3,inf,6
"Insert",50000000,4,inf,6
"Insert",50000000,5,inf,6
"Insert",50000000,6,inf,6
"Insert",50000000,7,inf,6
"Insert",50000000,8,inf,6
"Insert",50000000,9,inf,6
"Insert",50000000,10,inf,6
